Order_ID,Order_Date,Customer_ID,Restaurant_Name,City,Cuisine_Type,Order_Value,Discount_Amount,Delivery_Time_Min,Payment_Method,Rating,Order_Status,Order_Hour
ORD00028,2025-12-01,C2697,Pizza Point,Calicut,Indian,705.39,156.9,57,Card,3.6,Delivered,8
ORD00029,2025-05-25,C5325,Cafe Kerala,Thrissur,Chinese,785.07,177.69,60,UPI,4.4,Delivered,2
ORD00030,2025-11-21,C3143,Chinese Wok,Calicut,Arabic,594.75,110.21,32,Wallet,3.7,Delivered,17
ORD00031,2025-01-05,C7049,Cafe Kerala,Kannur,Arabic,267.47,28.74,59,UPI,4.1,Delivered,9
ORD00032,2025-07-06,C1653,Biriyani House,Trivandrum,Arabic,1093.93,182.39,65,Cash,,Cancelled,17
ORD00033,2025-07-28,C3662,Spice Route,Trivandrum,Fast Food,1172.53,7.27,62,Cash,4.9,Delivered,13
ORD00034,2025-12-09,C2771,Arabian Grill,Kochi,Fast Food,1057.27,58.79,66,Wallet,3.3,Delivered,11
ORD00035,2025-06-06,C4164,Arabian Grill,Calicut,Chinese,1011.56,218.59,70,Cash,3.0,Delivered,11
ORD00036,2025-11-25,C9785,Biriyani House,Kochi,Indian,684.88,150.17,58,Cash,,Cancelled,5
ORD00037,2025-10-25,C6663,Chinese Wok,Calicut,Fast Food,1160.66,175.9,31,UPI,4.2,Delivered,12
ORD00038,2025-10-23,C9821,Chinese Wok,Trivandrum,Chinese,349.58,37.69,17,Cash,3.0,Delivered,19
ORD00039,2025-06-10,C6067,Chinese Wok,Thrissur,Chinese,846.56,85.16,22,Cash,3.6,Delivered,17
ORD00040,2025-03-07,C3851,Cafe Kerala,Kannur,Chinese,351.43,35.68,57,UPI,,Cancelled,9
ORD00041,2025-05-27,C8618,Arabian Grill,Thrissur,Arabic,370.69,47.37,65,Card,4.3,Delivered,21
ORD00042,2025-02-13,C4848,Chinese Wok,Calicut,Arabic,447.98,90.33,57,Card,3.7,Delivered,0
ORD00043,2025-01-24,C8461,Arabian Grill,Kannur,Arabic,407.08,73.11,45,Wallet,4.5,Delivered,15
ORD00044,2025-07-24,C2746,Spice Route,Thrissur,Arabic,406.18,17.86,56,Wallet,4.8,Delivered,1
ORD00045,2025-10-13,C8612,Chinese Wok,Kannur,Cafe,411.66,61.28,69,Wallet,3.3,Delivered,19
ORD00046,2025-09-16,C8777,Arabian Grill,Calicut,Arabic,598.08,125.58,50,Cash,3.3,Delivered,16
ORD00047,2025-09-06,C4841,Biriyani House,Calicut,Chinese,808.09,180.41,32,UPI,4.4,Delivered,4
ORD00048,2025-03-19,C7797,Arabian Grill,Calicut,Cafe,392.82,45.76,59,UPI,3.4,Delivered,6
ORD00049,2025-08-04,C7232,Arabian Grill,Kochi,Chinese,558.95,41.73,64,Wallet,4.4,Delivered,13
ORD00050,2025-10-03,C8999,Pizza Point,Calicut,Fast Food,934.89,113.51,49,Wallet,4.8,Delivered,10
ORD00051,2025-12-09,C3091,Cafe Kerala,Kannur,Indian,863.1,195.69,40,UPI,4.7,Delivered,2
ORD00052,2025-11-26,C7211,Biriyani House,Trivandrum,Fast Food,600.04,49.03,70,Wallet,3.1,Delivered,8
ORD00053,2025-08-04,C1853,Biriyani House,Trivandrum,Indian,414.89,81.03,20,UPI,4.5,Delivered,0
ORD00054,2025-05-07,C8758,Chinese Wok,Kochi,Cafe,359.33,85.14,16,Wallet,3.5,Delivered,22
ORD00055,2025-05-12,C2876,Spice Route,Trivandrum,Chinese,955.24,25.82,25,UPI,4.9,Delivered,9
ORD00056,2025-10-22,C2245,Cafe Kerala,Trivandrum,Indian,861.21,150.11,39,Cash,4.4,Delivered,21
ORD00057,2025-11-04,C1672,Biriyani House,Kannur,Fast Food,995.8,164.69,65,UPI,,Cancelled,16
ORD00058,2025-11-28,C8102,Biriyani House,Thrissur,Arabic,508.29,55.34,69,Cash,4.0,Delivered,19
ORD00059,2025-10-03,C5397,Biriyani House,Trivandrum,Indian,963.37,67.18,44,Wallet,4.5,Delivered,7
ORD00060,2025-08-26,C6325,Pizza Point,Thrissur,Arabic,748.34,66.38,57,Cash,3.1,Delivered,10
ORD00061,2025-05-24,C9464,Pizza Point,Kochi,Arabic,1074.34,193.4,59,Wallet,4.1,Delivered,17
ORD00062,2025-05-04,C1282,Burger Hub,Calicut,Arabic,875.14,88.48,56,Card,3.9,Delivered,9
ORD00063,2025-12-06,C6419,Biriyani House,Thrissur,Chinese,760.63,58.31,45,Card,3.7,Delivered,3
ORD00064,2025-04-09,C4033,Pizza Point,Trivandrum,Fast Food,481.33,33.27,62,Cash,4.5,Delivered,3
ORD00065,2025-04-10,C9751,Pizza Point,Calicut,Indian,461.06,112.3,38,Cash,3.0,Delivered,22
ORD00066,2025-03-06,C5658,Arabian Grill,Thrissur,Fast Food,819.76,69.82,63,UPI,4.7,Delivered,8
ORD00067,2025-09-02,C1878,Pizza Point,Trivandrum,Cafe,269.79,64.02,19,UPI,3.1,Delivered,7
ORD00068,2025-03-02,C4697,Spice Route,Kannur,Fast Food,735.98,82.89,41,Wallet,4.6,Delivered,9
ORD00069,2025-10-29,C2625,Spice Route,Trivandrum,Arabic,1189.53,78.7,34,UPI,3.1,Delivered,5
ORD00070,2025-05-03,C8699,Biriyani House,Kochi,Arabic,332.5,23.95,19,Cash,3.8,Delivered,22
ORD00071,2025-08-21,C4241,Arabian Grill,Kochi,Cafe,224.74,12.63,29,Card,,Cancelled,8
ORD00072,2025-03-14,C5728,Arabian Grill,Kochi,Fast Food,224.98,38.73,25,Wallet,4.2,Delivered,8
ORD00073,2025-09-14,C8078,Chinese Wok,Calicut,Cafe,716.98,44.88,43,UPI,3.1,Delivered,7
ORD00074,2025-12-12,C5415,Cafe Kerala,Kochi,Arabic,1027.76,120.89,51,Wallet,3.0,Delivered,8
ORD00075,2025-04-03,C2494,Arabian Grill,Calicut,Fast Food,1196.79,99.73,42,UPI,4.0,Delivered,5
ORD00076,2025-06-18,C1601,Arabian Grill,Kochi,Chinese,582.23,36.74,46,UPI,4.9,Delivered,12
ORD00077,2025-09-21,C7770,Burger Hub,Trivandrum,Cafe,1016.17,91.91,15,Wallet,4.1,Delivered,20
ORD00078,2025-08-15,C5719,Arabian Grill,Thrissur,Indian,947.99,6.84,28,Card,3.3,Delivered,22
ORD00079,2025-03-23,C2858,Arabian Grill,Kochi,Arabic,476.29,59.34,15,Cash,3.2,Delivered,16
ORD00080,2025-12-28,C8483,Cafe Kerala,Trivandrum,Fast Food,437.1,20.83,68,Card,3.9,Delivered,2
ORD00081,2025-05-22,C9318,Biriyani House,Kochi,Chinese,961.31,174.49,69,Wallet,4.9,Delivered,4
ORD00082,2025-08-17,C7180,Arabian Grill,Calicut,Arabic,715.51,175.44,37,Card,4.5,Delivered,18
ORD00083,2025-07-16,C8749,Chinese Wok,Thrissur,Fast Food,395.24,97.67,64,Card,3.6,Delivered,15
ORD00084,2025-01-19,C8213,Burger Hub,Kannur,Fast Food,282.56,1.08,52,Card,3.2,Delivered,13
ORD00085,2025-12-02,C6546,Cafe Kerala,Thrissur,Indian,1168.45,248.81,19,Wallet,4.9,Delivered,10
ORD00086,2025-11-17,C2121,Pizza Point,Calicut,Arabic,904.65,168.89,63,Wallet,4.1,Delivered,3
ORD00087,2025-11-21,C1474,Burger Hub,Calicut,Indian,889.09,65.21,21,Cash,4.4,Delivered,13
ORD00088,2025-03-16,C3785,Pizza Point,Kochi,Cafe,406.41,88.48,41,Card,4.6,Delivered,15
ORD00089,2025-10-26,C1153,Spice Route,Thrissur,Chinese,300.27,50.87,44,Card,3.9,Delivered,2
ORD00090,2025-08-15,C5097,Arabian Grill,Calicut,Arabic,1142.5,285.45,52,Wallet,4.9,Delivered,3
ORD00091,2025-05-02,C5837,Burger Hub,Thrissur,Chinese,550.43,1.11,37,UPI,5.0,Delivered,19
ORD00092,2025-09-12,C6772,Pizza Point,Trivandrum,Cafe,1024.48,64.19,33,Card,3.5,Delivered,20
ORD00093,2025-02-19,C1546,Cafe Kerala,Calicut,Arabic,1098.57,24.75,56,Cash,4.6,Delivered,10
ORD00094,2025-08-01,C6994,Cafe Kerala,Kannur,Chinese,334.42,69.43,23,Cash,4.8,Delivered,15
ORD00095,2025-06-01,C2233,Pizza Point,Trivandrum,Fast Food,933.89,225.83,36,Cash,3.9,Delivered,2
ORD00096,2025-07-22,C5295,Cafe Kerala,Thrissur,Chinese,164.61,4.46,49,Card,3.7,Delivered,15
ORD00097,2025-01-13,C2035,Chinese Wok,Thrissur,Chinese,800.52,129.93,50,UPI,4.2,Delivered,4
ORD00098,2025-01-24,C2902,Burger Hub,Trivandrum,Cafe,1143.57,38.79,34,Wallet,,Cancelled,11
ORD00099,2025-12-10,C7866,Cafe Kerala,Trivandrum,Fast Food,1146.85,187.77,59,Wallet,,Cancelled,19
ORD00100,2025-07-28,C8264,Arabian Grill,Trivandrum,Chinese,1136.01,28.22,32,Cash,3.7,Delivered,17
ORD00101,2025-11-27,C8450,Burger Hub,Trivandrum,Cafe,526.61,127.85,40,UPI,4.9,Delivered,10
ORD00102,2025-05-05,C4394,Cafe Kerala,Trivandrum,Arabic,1188.26,97.6,65,Card,3.1,Delivered,19
ORD00103,2025-01-02,C9850,Biriyani House,Trivandrum,Indian,441.14,72.9,24,UPI,,Cancelled,4
ORD00104,2025-01-08,C3854,Biriyani House,Kochi,Arabic,526.15,97.56,65,UPI,3.6,Delivered,23
ORD00105,2025-02-02,C8405,Cafe Kerala,Trivandrum,Cafe,650.06,7.05,64,Cash,4.2,Delivered,14
ORD00106,2025-11-26,C7580,Arabian Grill,Kochi,Fast Food,1162.23,206.99,18,Wallet,,Cancelled,2
ORD00107,2025-02-11,C9984,Chinese Wok,Calicut,Fast Food,488.22,121.4,24,Cash,3.6,Delivered,14
ORD00108,2025-09-16,C4522,Arabian Grill,Thrissur,Arabic,785.7,81.28,21,Wallet,3.2,Delivered,12
ORD00109,2025-08-01,C7132,Pizza Point,Thrissur,Indian,916.09,20.89,35,UPI,4.3,Delivered,2
ORD00110,2025-08-10,C1982,Cafe Kerala,Kannur,Cafe,251.39,20.72,62,UPI,3.3,Delivered,13
ORD00111,2025-07-01,C1842,Biriyani House,Kannur,Chinese,1067.29,93.83,63,Card,4.8,Delivered,4
ORD00112,2025-12-03,C7022,Burger Hub,Calicut,Cafe,656.3,37.11,69,Wallet,4.7,Delivered,17
ORD00113,2025-11-15,C5381,Burger Hub,Trivandrum,Chinese,794.25,139.53,56,Cash,4.2,Delivered,10
ORD00114,2025-06-29,C2140,Pizza Point,Kochi,Indian,156.41,29.17,70,Card,4.3,Delivered,12
ORD00115,2025-08-03,C2391,Burger Hub,Trivandrum,Arabic,626.33,118.13,25,UPI,4.4,Delivered,21
ORD00116,2025-02-11,C7785,Biriyani House,Trivandrum,Cafe,435.71,12.4,57,Wallet,4.2,Delivered,3
ORD00117,2025-05-26,C1744,Pizza Point,Thrissur,Cafe,862.13,11.81,52,Card,4.3,Delivered,9
ORD00118,2025-04-19,C1126,Arabian Grill,Thrissur,Arabic,955.72,30.87,63,Card,3.7,Delivered,16
ORD00119,2025-10-14,C1693,Arabian Grill,Kochi,Fast Food,1025.02,236.05,66,Cash,3.8,Delivered,18
ORD00120,2025-08-08,C7636,Burger Hub,Calicut,Arabic,752.07,150.66,60,Wallet,3.6,Delivered,22
ORD00121,2025-07-05,C7560,Cafe Kerala,Kochi,Fast Food,242.54,52.78,69,Cash,3.9,Delivered,7
ORD00122,2025-06-20,C9355,Pizza Point,Calicut,Chinese,968.07,176.04,19,Card,3.2,Delivered,7
ORD00123,2025-02-22,C2234,Pizza Point,Thrissur,Fast Food,303.77,57.29,27,Wallet,3.3,Delivered,21
ORD00124,2025-10-17,C6179,Pizza Point,Thrissur,Indian,825.14,96.73,54,Cash,4.9,Delivered,8
ORD00125,2025-10-30,C1616,Burger Hub,Calicut,Chinese,208.98,4.01,47,UPI,3.9,Delivered,19
ORD00126,2025-11-01,C1672,Arabian Grill,Kannur,Arabic,682.42,54.85,44,Wallet,4.9,Delivered,16
ORD00127,2025-03-19,C6626,Chinese Wok,Kochi,Cafe,1155.61,186.67,43,UPI,4.8,Delivered,7
ORD00128,2025-12-29,C6962,Biriyani House,Calicut,Fast Food,609.65,62.3,43,Cash,4.2,Delivered,21
ORD00129,2025-11-03,C2548,Cafe Kerala,Thrissur,Chinese,204.98,12.91,55,Card,3.1,Delivered,10
ORD00130,2025-02-11,C7421,Pizza Point,Kannur,Indian,761.88,58.97,24,Wallet,3.6,Delivered,20
ORD00131,2025-06-18,C9624,Burger Hub,Thrissur,Cafe,1003.84,90.8,57,Cash,4.9,Delivered,9
ORD00132,2025-04-03,C8967,Pizza Point,Trivandrum,Arabic,1148.73,44.5,36,Cash,,Cancelled,3
ORD00133,2025-09-17,C6517,Spice Route,Kannur,Arabic,959.42,143.25,68,Card,4.1,Delivered,5
ORD00134,2025-04-03,C8170,Burger Hub,Thrissur,Chinese,1022.91,172.96,64,Card,4.8,Delivered,14
ORD00135,2025-11-09,C4918,Biriyani House,Thrissur,Arabic,449.17,41.31,62,Wallet,3.5,Delivered,14
ORD00136,2025-05-25,C4271,Spice Route,Kannur,Arabic,967.03,211.05,47,UPI,4.9,Delivered,20
ORD00137,2025-09-04,C9452,Spice Route,Kochi,Chinese,1067.82,22.39,50,Card,,Cancelled,8
ORD00138,2025-08-19,C4637,Spice Route,Thrissur,Chinese,1100.57,256.01,24,Wallet,3.2,Delivered,1
ORD00139,2025-07-22,C4678,Burger Hub,Calicut,Indian,677.11,142.05,30,Cash,3.2,Delivered,4
ORD00140,2025-03-12,C8685,Arabian Grill,Kannur,Indian,190.22,43.08,68,UPI,4.7,Delivered,8
ORD00141,2025-04-21,C9647,Arabian Grill,Kochi,Chinese,1026.71,61.0,50,UPI,,Cancelled,1
ORD00142,2025-05-03,C9189,Cafe Kerala,Kannur,Indian,590.82,93.34,65,Card,3.1,Delivered,22
ORD00143,2025-03-15,C7825,Pizza Point,Kochi,Cafe,455.84,111.07,15,UPI,3.5,Delivered,16
ORD00144,2025-10-06,C8702,Burger Hub,Thrissur,Chinese,682.69,43.29,47,UPI,3.8,Delivered,11
ORD00145,2025-02-04,C6447,Pizza Point,Kochi,Chinese,512.04,69.9,61,Card,3.2,Delivered,21
ORD00146,2025-08-26,C2033,Chinese Wok,Thrissur,Indian,1179.86,86.56,45,UPI,4.6,Delivered,6
ORD00147,2025-01-22,C9897,Arabian Grill,Calicut,Indian,481.38,90.65,34,Card,5.0,Delivered,9
ORD00148,2025-07-02,C3039,Spice Route,Calicut,Fast Food,1055.25,234.66,18,Wallet,3.7,Delivered,12
ORD00149,2025-06-23,C9507,Biriyani House,Kochi,Fast Food,1172.41,23.13,46,Card,3.7,Delivered,17
ORD00150,2025-05-31,C8305,Cafe Kerala,Thrissur,Arabic,487.27,84.03,20,Cash,3.6,Delivered,14
ORD00151,2025-01-22,C1939,Burger Hub,Thrissur,Chinese,913.16,117.13,37,Card,3.9,Delivered,0
ORD00152,2025-03-15,C2101,Pizza Point,Calicut,Chinese,1041.1,99.65,58,UPI,3.1,Delivered,19
ORD00153,2025-03-20,C3255,Cafe Kerala,Calicut,Fast Food,863.02,67.83,38,Cash,4.5,Delivered,7
ORD00154,2025-02-28,C2929,Biriyani House,Calicut,Fast Food,177.21,9.51,26,Cash,3.8,Delivered,22
ORD00155,2025-09-09,C8292,Burger Hub,Calicut,Chinese,360.19,63.89,23,Cash,3.9,Delivered,9
ORD00156,2025-03-22,C9335,Pizza Point,Kochi,Arabic,897.4,177.7,59,Card,4.6,Delivered,15
ORD00157,2025-01-14,C3126,Cafe Kerala,Kochi,Indian,528.94,40.9,51,Wallet,4.6,Delivered,16
ORD00158,2025-07-30,C6194,Chinese Wok,Kochi,Fast Food,957.62,111.52,67,Cash,3.3,Delivered,4
ORD00159,2025-10-10,C9238,Spice Route,Kochi,Indian,821.78,106.44,26,Cash,3.3,Delivered,5
ORD00160,2025-03-24,C9501,Biriyani House,Kochi,Chinese,488.79,23.99,60,Cash,4.9,Delivered,4
ORD00161,2025-11-17,C3526,Pizza Point,Kannur,Cafe,467.97,39.5,49,UPI,4.3,Delivered,0
ORD00162,2025-02-11,C4453,Spice Route,Kannur,Fast Food,197.73,30.55,56,UPI,3.5,Delivered,15
ORD00163,2025-11-18,C8912,Pizza Point,Thrissur,Chinese,722.86,81.96,56,UPI,,Cancelled,5
ORD00164,2025-08-14,C6121,Spice Route,Calicut,Chinese,586.4,142.99,44,Card,4.2,Delivered,11
ORD00165,2025-09-21,C8366,Pizza Point,Trivandrum,Indian,739.73,9.36,35,Wallet,3.2,Delivered,19
ORD00166,2025-08-03,C6123,Pizza Point,Trivandrum,Fast Food,410.68,102.26,70,Wallet,4.6,Delivered,15
ORD00167,2025-06-07,C9281,Arabian Grill,Trivandrum,Arabic,672.24,98.04,20,UPI,,Cancelled,1
ORD00168,2025-05-25,C9793,Burger Hub,Kochi,Fast Food,669.64,22.42,68,Cash,3.9,Delivered,23
ORD00169,2025-07-07,C4189,Biriyani House,Kannur,Chinese,952.05,17.5,38,Wallet,3.1,Delivered,17
ORD00170,2025-05-24,C2584,Arabian Grill,Calicut,Chinese,1016.58,141.77,54,Cash,3.2,Delivered,4
ORD00171,2025-04-12,C3245,Chinese Wok,Calicut,Fast Food,782.59,101.61,40,Card,3.1,Delivered,19
ORD00172,2025-09-21,C5902,Cafe Kerala,Calicut,Cafe,296.77,61.45,54,Wallet,3.8,Delivered,22
ORD00173,2025-10-16,C2795,Arabian Grill,Kannur,Chinese,464.78,92.58,67,UPI,3.7,Delivered,19
ORD00174,2025-08-31,C4728,Chinese Wok,Kochi,Cafe,428.81,51.51,56,Wallet,4.6,Delivered,4
ORD00175,2025-12-15,C2800,Pizza Point,Kochi,Fast Food,404.31,31.71,51,Card,,Cancelled,13
ORD00176,2025-12-20,C2020,Chinese Wok,Trivandrum,Cafe,364.09,18.87,47,Cash,4.8,Delivered,21
ORD00177,2025-09-02,C8531,Cafe Kerala,Calicut,Cafe,701.75,62.16,35,Cash,,Cancelled,19
ORD00178,2025-09-05,C5876,Spice Route,Calicut,Arabic,351.88,60.72,30,Wallet,3.6,Delivered,10
ORD00179,2025-09-03,C9899,Arabian Grill,Thrissur,Chinese,516.24,123.2,65,Card,3.6,Delivered,9
ORD00180,2025-01-22,C5201,Chinese Wok,Thrissur,Arabic,452.01,22.83,60,Cash,4.8,Delivered,17
ORD00181,2025-12-23,C4972,Burger Hub,Kannur,Arabic,435.2,69.41,21,UPI,4.2,Delivered,3
ORD00182,2025-07-31,C1084,Cafe Kerala,Trivandrum,Fast Food,496.81,81.09,45,Wallet,4.5,Delivered,15
ORD00183,2025-11-30,C2465,Chinese Wok,Kannur,Arabic,359.43,48.09,33,UPI,4.3,Delivered,5
ORD00184,2025-08-02,C1595,Spice Route,Thrissur,Fast Food,1076.36,50.13,26,Cash,,Cancelled,1
ORD00185,2025-01-05,C5662,Arabian Grill,Kannur,Cafe,463.31,57.21,53,Card,5.0,Delivered,16
ORD00186,2025-08-28,C8518,Chinese Wok,Calicut,Arabic,436.48,1.54,66,Cash,3.3,Delivered,9
ORD00187,2025-10-18,C7643,Spice Route,Thrissur,Cafe,858.12,70.35,27,Wallet,4.7,Delivered,21
ORD00188,2025-02-18,C1111,Biriyani House,Thrissur,Arabic,344.02,38.42,23,Cash,4.9,Delivered,10
ORD00189,2025-06-04,C4871,Burger Hub,Kochi,Fast Food,761.58,58.41,51,Wallet,4.3,Delivered,21
ORD00190,2025-09-15,C5833,Biriyani House,Kannur,Arabic,1119.26,61.32,60,Card,4.4,Delivered,15
ORD00191,2025-03-20,C8714,Spice Route,Kannur,Arabic,627.73,119.56,53,UPI,4.4,Delivered,16
ORD00192,2025-08-17,C2011,Spice Route,Kannur,Cafe,704.58,35.61,38,Card,4.1,Delivered,5
ORD00193,2025-06-17,C9008,Burger Hub,Kannur,Fast Food,1047.21,211.72,43,Wallet,3.4,Delivered,4
ORD00194,2025-09-20,C6049,Chinese Wok,Kochi,Fast Food,586.2,37.29,51,UPI,3.9,Delivered,23
ORD00195,2025-04-22,C9866,Burger Hub,Kochi,Fast Food,757.23,6.01,17,Wallet,4.4,Delivered,5
ORD00196,2025-03-11,C7266,Arabian Grill,Thrissur,Fast Food,954.12,19.14,61,Card,3.8,Delivered,20
ORD00197,2025-06-28,C4648,Spice Route,Kochi,Indian,274.56,67.16,49,Wallet,3.3,Delivered,21
ORD00198,2025-10-06,C6671,Pizza Point,Calicut,Arabic,595.33,139.52,39,UPI,3.5,Delivered,1
ORD00199,2025-12-05,C1256,Pizza Point,Trivandrum,Indian,590.2,14.89,64,UPI,,Cancelled,14
ORD00200,2025-11-03,C7590,Arabian Grill,Trivandrum,Cafe,855.62,46.47,70,UPI,4.5,Delivered,4
ORD00201,2025-09-15,C6224,Cafe Kerala,Kannur,Chinese,1193.16,70.67,29,Card,4.5,Delivered,21
ORD00202,2025-09-24,C3869,Chinese Wok,Thrissur,Cafe,382.09,47.34,34,Cash,4.1,Delivered,20
ORD00203,2025-12-10,C3444,Biriyani House,Thrissur,Arabic,550.21,103.77,48,Wallet,3.8,Delivered,7
ORD00204,2025-04-26,C1944,Cafe Kerala,Thrissur,Fast Food,465.77,64.89,60,Card,3.9,Delivered,12
ORD00205,2025-05-05,C7079,Burger Hub,Kannur,Arabic,417.75,5.38,36,Wallet,4.8,Delivered,21
ORD00206,2025-11-06,C4555,Arabian Grill,Trivandrum,Chinese,783.07,59.35,70,UPI,4.6,Delivered,6
ORD00207,2025-04-08,C4974,Chinese Wok,Kannur,Arabic,1160.18,115.04,22,Card,4.5,Delivered,17
ORD00208,2025-06-14,C6053,Biriyani House,Calicut,Cafe,964.29,212.82,39,Wallet,4.3,Delivered,3
ORD00209,2025-08-29,C7781,Burger Hub,Kannur,Arabic,949.71,175.99,35,UPI,3.7,Delivered,8
ORD00210,2025-10-11,C4214,Biriyani House,Trivandrum,Fast Food,1131.5,161.18,52,Card,3.6,Delivered,15
ORD00211,2025-10-09,C9005,Chinese Wok,Thrissur,Fast Food,837.34,35.22,58,Cash,4.5,Delivered,5
ORD00212,2025-03-13,C1962,Cafe Kerala,Kochi,Indian,906.33,214.16,46,UPI,4.8,Delivered,0
ORD00213,2025-07-31,C1149,Pizza Point,Kannur,Fast Food,294.37,27.46,55,Wallet,4.4,Delivered,21
ORD00214,2025-09-07,C9673,Chinese Wok,Calicut,Cafe,166.52,40.69,49,UPI,3.0,Delivered,16
ORD00215,2025-12-24,C3937,Burger Hub,Kochi,Cafe,857.73,31.93,66,Card,,Cancelled,19
ORD00216,2025-09-27,C7112,Arabian Grill,Thrissur,Cafe,415.04,25.24,37,Card,3.8,Delivered,9
ORD00217,2025-12-17,C1519,Burger Hub,Thrissur,Fast Food,1019.47,96.13,20,Wallet,4.7,Delivered,1
ORD00218,2025-11-23,C6427,Cafe Kerala,Kochi,Cafe,159.92,36.75,25,Card,4.7,Delivered,6
ORD00219,2025-12-21,C5593,Cafe Kerala,Kannur,Indian,1081.93,48.51,45,Cash,4.8,Delivered,0
ORD00220,2025-04-17,C2260,Biriyani House,Trivandrum,Cafe,766.39,46.07,63,Wallet,4.6,Delivered,21
ORD00221,2025-10-04,C2284,Cafe Kerala,Calicut,Indian,498.32,12.17,63,Card,4.6,Delivered,2
ORD00222,2025-06-24,C7499,Spice Route,Calicut,Indian,785.43,124.51,54,Wallet,,Cancelled,15
ORD00223,2025-04-27,C7227,Burger Hub,Kannur,Chinese,523.6,104.47,39,UPI,4.4,Delivered,2
ORD00224,2025-05-18,C7383,Biriyani House,Calicut,Indian,311.93,7.14,60,Cash,3.3,Delivered,14
ORD00225,2025-07-04,C8353,Cafe Kerala,Kannur,Cafe,949.41,96.85,21,UPI,3.4,Delivered,2
ORD00226,2025-07-01,C7311,Burger Hub,Calicut,Fast Food,731.93,70.96,53,UPI,3.6,Delivered,23
ORD00227,2025-10-14,C7237,Pizza Point,Trivandrum,Chinese,1100.47,82.85,30,Wallet,3.3,Delivered,4
ORD00228,2025-02-02,C2260,Biriyani House,Calicut,Arabic,325.57,58.68,32,Wallet,4.0,Delivered,19
ORD00229,2025-11-12,C7483,Biriyani House,Kannur,Fast Food,355.33,71.43,21,Cash,3.0,Delivered,14
